Date,ticker,name,exchange,country,currency,net_(eur),operation_price,operation_price_(eur),shares,current_price,current_price_(eur),returns_(eur),sales_num,purchases_num
2017-10-18,BTC-USD,Bitcoin USD,CCC,ccc,USD,-319.2,5590.69,4749.14,0.06721216894006073,16840.7,15859.0,746.72,0,1
2021-05-31,ETH-USD,Ethereum USD,CCC,ccc,USD,-515.8,2714.95,2227.19,0.23159227546819083,1221.4,1150.2,-249.42,0,1
2021-06-02,BTC-USD,Bitcoin USD,CCC,ccc,USD,-125.9,37575.18,30753.95,0.004093783075019632,16840.7,15859.0,-60.98,0,1
2021-11-20,BTC-USD,Bitcoin USD,CCC,ccc,USD,-146.3,59697.2,52513.37,0.002785957176239118,16840.7,15859.0,-102.12,0,1
2021-12-03,BTC-USD,Bitcoin USD,CCC,ccc,USD,-1084.0,53598.25,47406.91,0.022865864912942013,16840.7,15859.0,-721.37,0,1
2021-12-09,TSLA,"Tesla, Inc.",NasdaqGS,us,USD,-517.3,334.6,294.91,1.754094469499169,123.2,116.0,0.0,0,1
2021-12-13,AAPL,Apple Inc.,NasdaqGS,us,USD,-500.0,174.73,154.46,3.2370840347015406,131.9,124.2,-97.95,0,1
2021-12-20,MSFT,Microsoft Corporation,NasdaqGS,us,USD,-500.0,316.94,281.87,1.773867385674247,238.7,224.8,-101.23,0,1
2021-12-27,AAPL,Apple Inc.,NasdaqGS,us,USD,-131.7,179.29,158.33,0.831806985410219,131.9,124.2,-28.39,0,1
2021-12-27,BMW.DE,BAYERISCHE MOTOREN WERKE AG,XETRA,de,EUR,-630.0,83.65,83.65,7.531380753138075,83.5,83.5,-1.13,0,1
2021-12-27,GOOGL,Alphabet Inc.,NasdaqGS,us,USD,-630.0,147.91,130.62,4.823151125401929,89.2,84.0,-224.86,0,1
2021-12-27,MSFT,Microsoft Corporation,NasdaqGS,us,USD,-130.0,339.27,299.6,0.43391188251001334,238.7,224.8,-32.46,0,1
2021-12-27,NVDA,NVIDIA Corporation,NasdaqGS,us,USD,-630.0,309.16,273.01,2.307607779934801,152.1,143.2,-299.55,0,1
2021-12-27,TSLA,"Tesla, Inc.",NasdaqGS,us,USD,-130.0,364.65,322.02,0.40370163343891685,123.2,116.0,0.0,0,1
2022-04-04,SHEL.L,SHELL PLC ORD EUR0.07,LSE,gb,GBp,-100.0,2059.32,2443.43,0.04092607523031149,2366.5,2688.6,10.03,0,1
2022-09-15,TSLA,"Tesla, Inc.",NasdaqGS,us,USD,656.5,303.75,304.24,-2.157835919011307,123.2,116.0,9.18,1,0
